level1	 level2 	KOGid
General function prediction only	Proline binding protein WW45	[KOG1891]
Cytoskeleton	Predicted actin-bundling protein	[KOG3962]
RNA processing and modification	mRNA cleavage and polyadenylation factor II complex, subunit CFT1 (CPSF subunit)	[KOG1896]
Signal transduction mechanisms	Mab-21-like cell fate specification proteins	[KOG3963]
Signal transduction mechanisms	GTPase-activator protein	[KOG4270]
Function unknown	Uncharacterized conserved protein	[KOG4273]
Signal transduction mechanisms	Neurexin III-alpha	[KOG3514]
General function prediction only	Predicted GTP-binding protein	[KOG4272]
Lipid transport and metabolism	Acyl-CoA reductase	[KOG1221]
Translation, ribosomal structure and biogenesis	40S ribosomal protein S11	[KOG1728]
Amino acid transport and metabolism	Isochorismate synthase	[KOG1223]
Intracellular trafficking, secretion, and vesicular transport	Kinesin associated protein KAP	[KOG1222]
Signal transduction mechanisms	Teneurin-1 and related extracellular matrix proteins, contain EGF-like repeats	[KOG1225]
Extracellular structures	Teneurin-1 and related extracellular matrix proteins, contain EGF-like repeats	[KOG1225]
Translation, ribosomal structure and biogenesis	Para-aminobenzoate (PABA) synthase ABZ1	[KOG1224]
General function prediction only	Putative methyltransferase	[KOG1227]
Lipid transport and metabolism	Sterol O-acyltransferase/Diacylglycerol O-acyltransferase	[KOG0380]
Signal transduction mechanisms	3'5'-cyclic nucleotide phosphodiesterases	[KOG1229]
Function unknown	Uncharacterized conserved protein	[KOG1228]
Function unknown	Uncharacterized conserved protein	[KOG4416]
General function prediction only	Predicted helicase	[KOG0383]
Function unknown	Uncharacterized conserved protein	[KOG2955]
Function unknown	Predicted PRP38-like splicing factor	[KOG2889]
General function prediction only	LAR transmembrane tyrosine phosphatase-interacting protein liprin	[KOG1899]
Transcription	Transcription initiation factor TFIID, subunit TAF10 (also component of histone acetyltransferase SAGA)	[KOG3423]
Signal transduction mechanisms	Serine/threonine protein kinase	[KOG4279]
Energy production and conversion	Exopolyphosphatases and related proteins	[KOG4129]
Signal transduction mechanisms	Protein tyrosine kinase	[KOG4278]
Intracellular trafficking, secretion, and vesicular transport	Protein transporter of the TRAM (translocating chain-associating membrane) superfamily	[KOG1608]
RNA processing and modification	U3 small nucleolar ribonucleoprotein (snoRNP) component	[KOG4655]
Posttranslational modification, protein turnover, chaperones	Predicted ubiquitin-protein ligase of the N-recognin family	[KOG1139]
General function prediction only	WD40 repeat protein	[KOG1274]
General function prediction only	Uncharacterized conserved protein similar to ATP/GTP-binding protein	[KOG2750]
Inorganic ion transport and metabolism	Selenium-binding protein	[KOG0918]
General function prediction only	Histidine acid phosphatase	[KOG3672]
Extracellular structures	Predicted cell growth/differentiation regulator, contains RA domain	[KOG1574]
Signal transduction mechanisms	Calcium/calmodulin-dependent serine protein kinase/membrane-associated guanylate kinase	[KOG0609]
Energy production and conversion	GTP-specific succinyl-CoA synthetase, beta subunit	[KOG1447]
Transcription	C-5 cytosine-specific DNA methylase	[KOG0919]
Lipid transport and metabolism	Phosphatidylinositol transfer protein SEC14 and related proteins	[KOG1471]
Signal transduction mechanisms	Protein phosphatase 2A-associated protein	[KOG2830]
Posttranslational modification, protein turnover, chaperones	Farnesyl cysteine-carboxyl methyltransferase	[KOG2628]
Cell wall/membrane/envelope biogenesis	Peroxisomal membrane anchor protein (peroxin)	[KOG2629]
Posttranslational modification, protein turnover, chaperones	Peroxisomal membrane anchor protein (peroxin)	[KOG2629]
Intracellular trafficking, secretion, and vesicular transport	Peroxisomal membrane anchor protein (peroxin)	[KOG2629]
Translation, ribosomal structure and biogenesis	tRNA cytosine-5-methylases and related enzymes of the NOL1/NOP2/sun superfamily	[KOG2198]
Signal transduction mechanisms	Signal transducing adaptor protein STAM/STAM2	[KOG2199]
Nuclear structure	Nuclear porin	[KOG2196]
Function unknown	Uncharacterized conserved protein	[KOG2625]
Posttranslational modification, protein turnover, chaperones	Aminopeptidases of the M20 family	[KOG2194]
General function prediction only	Aminopeptidases of the M20 family	[KOG2194]
Posttranslational modification, protein turnover, chaperones	Transferrin receptor and related proteins containing the protease-associated (PA) domain	[KOG2195]
Inorganic ion transport and metabolism	Transferrin receptor and related proteins containing the protease-associated (PA) domain	[KOG2195]
General function prediction only	Transferrin receptor and related proteins containing the protease-associated (PA) domain	[KOG2195]
Energy production and conversion	Prohibitins and stomatins of the PID superfamily	[KOG2620]
Energy production and conversion	Prohibitins and stomatins of the PID superfamily	[KOG2621]
RNA processing and modification	PolyC-binding proteins alphaCP-1 and related KH domain proteins	[KOG2190]
General function prediction only	PolyC-binding proteins alphaCP-1 and related KH domain proteins	[KOG2190]
Translation, ribosomal structure and biogenesis	Tyrosyl-tRNA synthetase	[KOG2623]
Transcription	Transcription factor E2F/dimerization partner (TDP)	[KOG2577]
Posttranslational modification, protein turnover, chaperones	Beta-1,3-glucuronyltransferase B3GAT1/SQV-8	[KOG1476]
Function unknown	Predicted membrane protein	[KOG2704]
Function unknown	Zinc carboxypeptidase	[KOG2650]
Transcription	Transcriptional regulator	[KOG2959]
General function prediction only	Cellular protein (glioma tumor suppressor candidate region gene 2)	[KOG2823]
Nucleotide transport and metabolism	IMP-GMP specific 5'-nucleotidase	[KOG2469]
Amino acid transport and metabolism	Isocitrate dehydrogenase, gamma subunit	[KOG0784]
General function prediction only	Beta amyloid precursor protein	[KOG3540]
Cytoskeleton	Members of tubulin/FtsZ family	[KOG2530]
Carbohydrate transport and metabolism	Sugar (pentulose and hexulose) kinases	[KOG2531]
Carbohydrate transport and metabolism	Permease of the major facilitator superfamily	[KOG2532]
Carbohydrate transport and metabolism	Permease of the major facilitator superfamily	[KOG2533]
Replication, recombination and repair	DNA polymerase IV (family X)	[KOG2534]
Chromatin structure and dynamics	RNA polymerase II elongator complex, subunit ELP3/histone acetyltransferase	[KOG2535]
Transcription	RNA polymerase II elongator complex, subunit ELP3/histone acetyltransferase	[KOG2535]
Energy production and conversion	MAM33, mitochondrial matrix glycoprotein	[KOG2536]
Carbohydrate transport and metabolism	Phosphoglucomutase/phosphomannomutase	[KOG2537]
Replication, recombination and repair	Origin recognition complex, subunit 3	[KOG2538]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosome small subunit component	[KOG2539]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone (DnaJ superfamily)	[KOG0716]
Amino acid transport and metabolism	Dihydroxy-acid dehydratase	[KOG2448]
Amino acid transport and metabolism	Methylmalonate semialdehyde dehydrogenase	[KOG2449]
Carbohydrate transport and metabolism	Methylmalonate semialdehyde dehydrogenase	[KOG2449]
Intracellular trafficking, secretion, and vesicular transport	Kinesin-associated fasciculation and elongation protein involved in axonal transport	[KOG3919]
Function unknown	Predicted membrane protein	[KOG3918]
General function prediction only	Uncharacterized conserved protein, contains dysferlin, TECPR and PH domains	[KOG3669]
General function prediction only	Uncharacterized conserved protein, contains SH3 and FCH domains	[KOG4429]
Transcription	STAT protein	[KOG3667]
Signal transduction mechanisms	STAT protein	[KOG3667]
Function unknown	Uncharacterized conserved protein	[KOG3666]
General function prediction only	Uncharacterized conserved protein, contains PA domain	[KOG2442]
Carbohydrate transport and metabolism	UDP-Gal:glucosylceramide beta-1,4-galactosyltransferase	[KOG3916]
General function prediction only	WD40 repeat protein	[KOG2444]
Transcription	Helix loop helix transcription factor	[KOG3910]
Carbohydrate transport and metabolism	Glucose-6-phosphate isomerase	[KOG2446]
Signal transduction mechanisms	Sodium-neurotransmitter symporter	[KOG3660]
Secondary metabolites biosynthesis, transport and catabolism	Multidrug/pheromone exporter, ABC superfamily	[KOG0055]
Signal transduction mechanisms	Predicted G-alpha GTPase interaction protein, contains GoLoco domain	[KOG1130]
RNA processing and modification	DNA/RNA helicase MER3/SLH1, DEAD-box superfamily	[KOG0952]
Transcription	Transcription factor CBF, beta subunit	[KOG4785]
Transcription	RNA polymerase II transcription elongation factor Elongin/SIII, subunit elongin A	[KOG2821]
Function unknown	Uncharacterized conserved protein	[KOG4784]
General function prediction only	Nucleic acid binding protein	[KOG3263]
Translation, ribosomal structure and biogenesis	H/ACA small nucleolar RNP component GAR1	[KOG3262]
Function unknown	Uncharacterized conserved protein	[KOG3261]
Signal transduction mechanisms	Calcyclin-binding protein CacyBP	[KOG3260]
Function unknown	Uncharacterized conserved protein	[KOG3267]
Amino acid transport and metabolism	Predicted glycine cleavage system H protein	[KOG3266]
Transcription	Histone chaperone involved in gene silencing	[KOG3265]
Chromatin structure and dynamics	Histone chaperone involved in gene silencing	[KOG3265]
Function unknown	Uncharacterized conserved protein	[KOG3264]
Function unknown	Predicted membrane protein	[KOG3269]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG3268]
Translation, ribosomal structure and biogenesis	Asparaginyl-tRNA synthetase	[KOG0555]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L3	[KOG3141]
Function unknown	Uncharacterized conserved protein (Ganglioside-induced differentiation associated protein 1, GDAP1)	[KOG4420]
Coenzyme transport and metabolism	Pantothenate kinase PanK and related proteins	[KOG2201]
Function unknown	Uncharacterized conserved protein	[KOG4036]
Amino acid transport and metabolism	Cystathionine beta-lyases/cystathionine gamma-synthases	[KOG0053]
Signal transduction mechanisms	Coeffector of mDia Rho GTPase, regulates actin polymerization and cell adhesion turnover	[KOG4035]
Cytoskeleton	Coeffector of mDia Rho GTPase, regulates actin polymerization and cell adhesion turnover	[KOG4035]
Amino acid transport and metabolism	Dihydropteridine reductase DHPR/QDPR	[KOG4022]
General function prediction only	Predicted carbohydrate kinase, contains PfkB domain	[KOG3009]
Nucleotide transport and metabolism	Quinolinate phosphoribosyl transferase	[KOG3008]
Cell cycle control, cell division, chromosome partitioning	Leucine-rich acidic nuclear protein	[KOG2739]
General function prediction only	Leucine-rich acidic nuclear protein	[KOG2739]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone of the GrpE family	[KOG3003]
General function prediction only	Zn finger protein	[KOG3002]
Chromatin structure and dynamics	Dosage compensation regulatory complex/histone acetyltransferase complex, subunit MSL-3/MRG15/EAF3, and related CHROMO domain-containing proteins	[KOG3001]
Transcription	Dosage compensation regulatory complex/histone acetyltransferase complex, subunit MSL-3/MRG15/EAF3, and related CHROMO domain-containing proteins	[KOG3001]
Cell cycle control, cell division, chromosome partitioning	Microtubule-binding protein involved in cell cycle control	[KOG3000]
Cytoskeleton	Microtubule-binding protein involved in cell cycle control	[KOG3000]
Amino acid transport and metabolism	Mu-crystallin	[KOG3007]
Lipid transport and metabolism	Transthyretin and related proteins	[KOG3006]
General function prediction only	GIY-YIG type nuclease	[KOG3005]
Function unknown	Uncharacterized conserved protein	[KOG4032]
Function unknown	Uncharacterized conserved protein	[KOG3869]
Transcription	Activating signal cointegrator 1	[KOG2845]
Function unknown	Predicted membrane protein	[KOG2846]
Lipid transport and metabolism	Inositol polyphosphate 5-phosphatase, type I	[KOG1976]
General function prediction only	Uncharacterized conserved protein with similarity to predicted ATPase of the PP-loop superfamily	[KOG2840]
Replication, recombination and repair	Structure-specific endonuclease ERCC1-XPF, ERCC1 component	[KOG2841]
Cytoskeleton	Interferon-related protein PC4 like	[KOG2842]
Carbohydrate transport and metabolism	Fumarylacetoacetase	[KOG2843]
Extracellular structures	Sensory cilia assembly protein	[KOG3861]
Signal transduction mechanisms	Acyltransferase required for palmitoylation of Hedgehog (Hh) family of secreted signaling proteins	[KOG3860]
Transcription	bZIP transcription factor NRF1	[KOG3863]
Transcription	Transcription factor PAX2/5/8, contains PAX domain	[KOG3862]
Signal transduction mechanisms	Arrestin	[KOG3865]
General function prediction only	Placental protein 11	[KOG2849]
General function prediction only	Sulfatase	[KOG3867]
General function prediction only	DNA-binding protein of the nucleobindin family	[KOG3866]
Lipid transport and metabolism	Predicted phosphate acyltransferase, contains PlsC domain	[KOG4666]
Lipid transport and metabolism	Predicted esterase	[KOG4667]
Energy production and conversion	Cytochrome oxidase subunit III and related proteins	[KOG4664]
Energy production and conversion	ATP synthase F0 subunit 6 and related proteins	[KOG4665]
Energy production and conversion	NADH dehydrogenase subunit 3 and related proteins	[KOG4662]
Energy production and conversion	Cytochrome b	[KOG4663]
Cell cycle control, cell division, chromosome partitioning	Protein Mei2, essential for commitment to meiosis, and related proteins	[KOG4660]
Transcription	Hsp27-ERE-TATA-binding protein/Scaffold attachment factor (SAF-B)	[KOG4661]
Function unknown	Uncharacterized conserved protein	[KOG3829]
Energy production and conversion	NADH dehydrogenase subunits 2, 5, and related proteins	[KOG4668]
Energy production and conversion	NADH dehydrogenase subunit 4L and related proteins	[KOG4669]
Signal transduction mechanisms	Rho guanine nucleotide exchange factor VAV3	[KOG2996]
General function prediction only	F-box protein FBX9	[KOG2997]
Replication, recombination and repair	Uracil DNA glycosylase	[KOG2994]
Function unknown	FOG: SH3 domain	[KOG2995]
Nuclear structure	Nucleolar GTPase/ATPase p130	[KOG2992]
Intracellular trafficking, secretion, and vesicular transport	Cytoplasm to vacuole targeting protein	[KOG2993]
Function unknown	C2C2-type Zn-finger protein	[KOG2990]
RNA processing and modification	Splicing regulator	[KOG2991]
Intracellular trafficking, secretion, and vesicular transport	Signal recognition particle, subunit Srp9	[KOG3465]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L44	[KOG3464]
Chromatin structure and dynamics	Histone H4	[KOG3467]
Energy production and conversion	NADH:flavin oxidoreductase/12-oxophytodienoate reductase	[KOG0134]
General function prediction only	NADH:flavin oxidoreductase/12-oxophytodienoate reductase	[KOG0134]
General function prediction only	CDGSH-type Zn-finger containing protein	[KOG3461]
RNA processing and modification	Small nuclear ribonucleoprotein (snRNP) LSM3	[KOG3460]
Function unknown	Uncharacterized conserved protein	[KOG2998]
Signal transduction mechanisms	Regulator of Rac1, required for phagocytosis and cell migration	[KOG2999]
Signal transduction mechanisms	Phosphoinositide-specific phospholipase C	[KOG0169]
Posttranslational modification, protein turnover, chaperones	Putative ubiquitin fusion degradation protein	[KOG0168]
Intracellular trafficking, secretion, and vesicular transport	LST7 amino acid permease Golgi transport protein	[KOG3715]
Amino acid transport and metabolism	LST7 amino acid permease Golgi transport protein	[KOG3715]
Posttranslational modification, protein turnover, chaperones	Meprin A metalloprotease	[KOG3714]
Function unknown	Uncharacterized conserved protein	[KOG4118]
Transcription	RFX family transcription factor	[KOG3712]
Function unknown	Uncharacterized conserved protein, contains phosphotyrosine interaction (PI) domain	[KOG4448]
Signal transduction mechanisms	EGL-Nine (EGLN) protein	[KOG3710]
Function unknown	Uncharacterized conserved protein	[KOG4446]
Cytoskeleton	Myosin class V heavy chain	[KOG0160]
Energy production and conversion	Ubiquinol cytochrome c reductase, subunit QCR8	[KOG4116]
Cytoskeleton	Myosin class I heavy chain	[KOG0162]
Energy production and conversion	NADH:ubiquinone oxidoreductase, NDUFS5/15kDa	[KOG4110]
Cytoskeleton	Myosin class I heavy chain	[KOG0164]
Intracellular trafficking, secretion, and vesicular transport	Signal peptidase subunit	[KOG4112]
Signal transduction mechanisms	Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes	[KOG4441]
General function prediction only	Proteins containing BTB/POZ and Kelch domains, involved in regulatory/signal transduction processes	[KOG4441]
Intracellular trafficking, secretion, and vesicular transport	TRAPP 20 K subunit	[KOG3487]
Translation, ribosomal structure and biogenesis	40S ribosomal protein S21	[KOG3486]
Function unknown	Uncharacterized conserved protein	[KOG3485]
Coenzyme transport and metabolism	Pyridoxamine-phosphate oxidase	[KOG2586]
Function unknown	Uncharacterized conserved protein	[KOG3483]
RNA processing and modification	Small nuclear ribonucleoprotein (snRNP) SMF	[KOG3482]
Function unknown	Uncharacterized conserved protein	[KOG3481]
Intracellular trafficking, secretion, and vesicular transport	Mitochondrial import inner membrane translocase, subunits TIM10/TIM12	[KOG3480]
Chromatin structure and dynamics	Histone deacetylase complex, catalytic component HDA1	[KOG1343]
Intracellular trafficking, secretion, and vesicular transport	Mitochondrial import inner membrane translocase, subunit TIM8	[KOG3489]
Intracellular trafficking, secretion, and vesicular transport	Mitochondrial import inner membrane translocase, subunit TIM44	[KOG2580]
Signal transduction mechanisms	Signal transduction protein Enabled, contains WH1 domain	[KOG4590]
General function prediction only	Uncharacterized conserved protein, contains BTB/POZ domain	[KOG4591]
Function unknown	Uncharacterized conserved protein	[KOG4592]
Cell cycle control, cell division, chromosome partitioning	Mitotic checkpoint protein MAD1	[KOG4593]
Replication, recombination and repair	Sequence-specific single-stranded-DNA-binding protein	[KOG4594]
Transcription	Sequence-specific single-stranded-DNA-binding protein	[KOG4594]
General function prediction only	Sequence-specific single-stranded-DNA-binding protein	[KOG4594]
Cytoskeleton	Actin-related protein Arp2/3 complex, subunit Arp3	[KOG0678]
Function unknown	Uncharacterized conserved protein	[KOG4596]
Posttranslational modification, protein turnover, chaperones	Serine proteinase inhibitor (KU family) with thrombospondin repeats	[KOG4597]
Posttranslational modification, protein turnover, chaperones	Putative ubiquitin-specific protease	[KOG4598]
Translation, ribosomal structure and biogenesis	Putative mitochondrial/chloroplast ribosomal protein L45	[KOG4599]
General function prediction only	Predicted hydrolase	[KOG2984]
Posttranslational modification, protein turnover, chaperones	COP9 signalosome, subunit CSN3	[KOG2582]
Signal transduction mechanisms	COP9 signalosome, subunit CSN3	[KOG2582]
Function unknown	Uncharacterized conserved protein	[KOG4060]
Lipid transport and metabolism	Triglyceride lipase-cholesterol esterase	[KOG2624]
Replication, recombination and repair	6-O-methylguanine-DNA methyltransferase MGMT/MGT1, involved in DNA repair	[KOG4062]
Function unknown	Major epididymal secretory protein HE1	[KOG4063]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone (HSP90 family)	[KOG0019]
Function unknown	Uncharacterized conserved protein	[KOG4065]
Function unknown	Cell growth regulatory protein CGR11	[KOG4066]
Function unknown	Uncharacterized conserved protein	[KOG4067]
Transcription	Regulator of arginine metabolism and related MADS box-containing transcription factors	[KOG0015]
Function unknown	Uncharacterized conserved protein	[KOG4069]
General function prediction only	FOG: Transposon-encoded proteins with TYA, reverse transcriptase, integrase domains in various combinations	[KOG0017]
Lipid transport and metabolism	Enoyl-CoA hydratase/isomerase	[KOG0016]
Replication, recombination and repair	Nucleotide excision repair factor NEF2, RAD23 component	[KOG0011]
Chromatin structure and dynamics	Histone H3 (Lys4) methyltransferase complex, subunit CPS60/ASH2/BRE2	[KOG2626]
Transcription	Histone H3 (Lys4) methyltransferase complex, subunit CPS60/ASH2/BRE2	[KOG2626]
Function unknown	Uncharacterized conserved protein	[KOG0013]
Replication, recombination and repair	DNA damage inducible protein	[KOG0012]
Posttranslational modification, protein turnover, chaperones	Lysyl hydrolase/glycosyltransferase family 25	[KOG4179]
Translation, ribosomal structure and biogenesis	40s ribosomal protein S26	[KOG1768]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-like proteins	[KOG1769]
Function unknown	Uncharacterized conserved protein	[KOG3899]
Energy production and conversion	5'-AMP-activated protein kinase, gamma subunit	[KOG1764]
Translation, ribosomal structure and biogenesis	Regulator of ribosome synthesis	[KOG1765]
General function prediction only	Enhancer of rudimentary	[KOG1766]
Translation, ribosomal structure and biogenesis	40S ribosomal protein S25	[KOG1767]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone Prefoldin, subunit 4	[KOG1760]
Intracellular trafficking, secretion, and vesicular transport	Signal recognition particle, subunit Srp14	[KOG1761]
Translation, ribosomal structure and biogenesis	60s acidic ribosomal protein P1	[KOG1762]
General function prediction only	Uncharacterized conserved protein, contains CCCH-type Zn-finger	[KOG1763]
RNA processing and modification	Splicing factor 3a, subunit 3	[KOG2636]
Inorganic ion transport and metabolism	Heavy metal exporter HMT1, ABC superfamily	[KOG0056]
Defense mechanisms	Putative myrosinase precursor	[KOG2622]
Transcription	Class 2 transcription repressor NC2, alpha subunit (DRAP1)	[KOG1659]
Carbohydrate transport and metabolism	Inositol monophosphatase	[KOG2951]
RNA processing and modification	RNA-binding protein NOVA1/PASILLA and related KH domain proteins	[KOG2191]
General function prediction only	RNA-binding protein NOVA1/PASILLA and related KH domain proteins	[KOG2191]
Function unknown	Uncharacterized conserved protein	[KOG4843]
Energy production and conversion	NADP/FAD dependent oxidoreductase	[KOG1158]
Signal transduction mechanisms	FOG: Toll/interleukin receptor and related proteins containing LRR and TIR repeats	[KOG4641]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L5	[KOG0875]
Translation, ribosomal structure and biogenesis	RNA-binding protein required for biogenesis of the ribosomal 60S subunit	[KOG2971]
Posttranslational modification, protein turnover, chaperones	Peptide:N-glycanase	[KOG0909]
Posttranslational modification, protein turnover, chaperones	Thioredoxin-like protein	[KOG0908]
General function prediction only	Predicted oxidoreductase	[KOG4288]
Signal transduction mechanisms	Cadherin EGF LAG seven-pass G-type receptor	[KOG4289]
Transcription	DEAD box protein	[KOG4284]
Cell cycle control, cell division, chromosome partitioning	Mitotic phosphoprotein	[KOG4285]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L14/L17/L23	[KOG0901]
Translation, ribosomal structure and biogenesis	40S ribosomal protein S20	[KOG0900]
Posttranslational modification, protein turnover, chaperones	Thioredoxin	[KOG0907]
Signal transduction mechanisms	Phosphatidylinositol 3-kinase VPS34, involved in signal transduction	[KOG0906]
Intracellular trafficking, secretion, and vesicular transport	Phosphatidylinositol 3-kinase VPS34, involved in signal transduction	[KOG0906]
Signal transduction mechanisms	Phosphoinositide 3-kinase	[KOG0905]
Transcription	Transcription-coupled repair protein CSA, contains WD40 domain	[KOG4283]
Replication, recombination and repair	Transcription-coupled repair protein CSA, contains WD40 domain	[KOG4283]
Replication, recombination and repair	DNA replication factor/protein phosphatase inhibitor SET/SPR-2	[KOG1508]
Cell cycle control, cell division, chromosome partitioning	Predicted nucleic acid-binding protein ASMTL	[KOG1509]
Transcription	Dopey and related predicted leucine zipper transcription factors	[KOG3613]
General function prediction only	Serine/threonine protein kinase	[KOG0589]
Cell cycle control, cell division, chromosome partitioning	Serine/threonine protein kinase	[KOG0588]
Posttranslational modification, protein turnover, chaperones	Protein arginine N-methyltransferase CARM1	[KOG1500]
Transcription	Protein arginine N-methyltransferase CARM1	[KOG1500]
General function prediction only	Arginine N-methyltransferase	[KOG1501]
Signal transduction mechanisms	Ca2+/calmodulin-dependent protein kinase kinase beta and related serine/threonine protein kinases	[KOG0585]
General function prediction only	Serine/threonine protein kinase	[KOG0584]
Signal transduction mechanisms	Serine/threonine protein kinase	[KOG0583]
Signal transduction mechanisms	Ste20-like serine/threonine protein kinase	[KOG0582]
Signal transduction mechanisms	Mitogen-activated protein kinase kinase (MAP2K)	[KOG0581]
Cell cycle control, cell division, chromosome partitioning	Serine/threonine protein kinase	[KOG0580]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase	[KOG0741]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase	[KOG0740]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase	[KOG0743]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase	[KOG0742]
Posttranslational modification, protein turnover, chaperones	Putative ATP-dependent Clp-type protease (AAA+ ATPase superfamily)	[KOG0745]
Posttranslational modification, protein turnover, chaperones	AAA+-type ATPase	[KOG0744]
Carbohydrate transport and metabolism	Putative NAD+-dependent epimerases	[KOG0747]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L3 and related proteins	[KOG0746]
Intracellular trafficking, secretion, and vesicular transport	emp24/gp25L/p24 family of membrane trafficking proteins	[KOG1690]
General function prediction only	Predicted membrane proteins, contain hemolysin III domain	[KOG0748]
Signal transduction mechanisms	Predicted membrane proteins, contain hemolysin III domain	[KOG0748]
Extracellular structures	Extracellular matrix-associated peroxidase	[KOG4848]
Defense mechanisms	Extracellular matrix-associated peroxidase	[KOG4848]
RNA processing and modification	mRNA cleavage factor I subunit/CPSF subunit	[KOG4849]
Translation, ribosomal structure and biogenesis	60s ribosomal protein L6	[KOG1694]
Posttranslational modification, protein turnover, chaperones	Glutathione S-transferase	[KOG1695]
Translation, ribosomal structure and biogenesis	60s ribosomal protein L19	[KOG1696]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein S9	[KOG1697]
Function unknown	Uncharacterized conserved protein	[KOG1988]
Signal transduction mechanisms	ARK protein kinase family	[KOG1989]
Function unknown	Uncharacterized conserved protein	[KOG3024]
Intracellular trafficking, secretion, and vesicular transport	Vesicle coat complex COPII, subunit SFB3	[KOG1984]
Intracellular trafficking, secretion, and vesicular transport	Vesicle coat complex COPII, subunit SEC24/subunit SFB2	[KOG1985]
Intracellular trafficking, secretion, and vesicular transport	Vesicle coat complex COPII, subunit SEC23	[KOG1986]
Replication, recombination and repair	PAB-dependent poly(A) ribonuclease, subunit PAN2	[KOG1275]
Function unknown	Uncharacterized conserved protein	[KOG1980]
Signal transduction mechanisms	SOK1 kinase belonging to the STE20/SPS1/GC kinase family	[KOG1981]
Replication, recombination and repair	Nuclear 5'-3' exoribonuclease-interacting protein, Rai1p	[KOG1982]
Intracellular trafficking, secretion, and vesicular transport	Tomosyn and related SNARE-interacting proteins	[KOG1983]
RNA processing and modification	ATP-dependent RNA helicase	[KOG0345]
RNA processing and modification	ATP-dependent RNA helicase	[KOG0344]
Transcription	Transcription factor ACJ6/BRN-3, contains POU and HOX domains	[KOG1168]
RNA processing and modification	RNA helicase	[KOG0346]
RNA processing and modification	DEAD-box protein abstrakt	[KOG0341]
RNA processing and modification	ATP-dependent RNA helicase	[KOG0340]
RNA processing and modification	RNA Helicase	[KOG0343]
Posttranslational modification, protein turnover, chaperones	Metalloproteinase-related collagenase pM5	[KOG1948]
Intracellular trafficking, secretion, and vesicular transport	Predicted small molecule transporter	[KOG1162]
Inorganic ion transport and metabolism	Predicted metallothionein	[KOG4738]
Energy production and conversion	Fe-S oxidoreductase	[KOG1160]
Inorganic ion transport and metabolism	Protein involved in vacuolar polyphosphate accumulation, contains SPX domain	[KOG1161]
RNA processing and modification	Putative DEAD-box RNA helicase DDX1	[KOG0349]
RNA processing and modification	ATP-dependent RNA helicase	[KOG0348]
Signal transduction mechanisms	Casein kinase (serine/threonine/tyrosine protein kinase)	[KOG1164]
Cell cycle control, cell division, chromosome partitioning	Uncharacterized protein involved in synaptonemal complex formation	[KOG4739]
General function prediction only	Uncharacterized protein involved in synaptonemal complex formation	[KOG4739]
Cell cycle control, cell division, chromosome partitioning	Meiotic recombination protein Dmc1	[KOG1434]
Replication, recombination and repair	Meiotic recombination protein Dmc1	[KOG1434]
Lipid transport and metabolism	Sterol reductase/lamin B receptor	[KOG1435]
Signal transduction mechanisms	Sterol reductase/lamin B receptor	[KOG1435]
Lipid transport and metabolism	Prosaposin	[KOG1340]
Carbohydrate transport and metabolism	Prosaposin	[KOG1340]
Cell wall/membrane/envelope biogenesis	Fasciclin and related adhesion glycoproteins	[KOG1437]
Extracellular structures	Fasciclin and related adhesion glycoproteins	[KOG1437]
Lipid transport and metabolism	C-3 sterol dehydrogenase/3-beta-hydroxysteroid dehydrogenase and related dehydrogenases	[KOG1430]
Amino acid transport and metabolism	C-3 sterol dehydrogenase/3-beta-hydroxysteroid dehydrogenase and related dehydrogenases	[KOG1430]
General function prediction only	Uncharacterized membrane protein, predicted efflux pump	[KOG1347]
Chromatin structure and dynamics	Predicted histone deacetylase	[KOG1344]
Replication, recombination and repair	DNA repair protein RAD51/RHP55	[KOG1433]
Posttranslational modification, protein turnover, chaperones	Asparaginyl peptidases	[KOG1348]
Posttranslational modification, protein turnover, chaperones	Gpi-anchor transamidase	[KOG1349]
Amino acid transport and metabolism	Anthranilate phosphoribosyltransferase	[KOG1438]
Posttranslational modification, protein turnover, chaperones	RAB proteins geranylgeranyltransferase component A (RAB escort protein)	[KOG1439]
Amino acid transport and metabolism	Thiamine pyrophosphate-requiring enzyme	[KOG1184]
